subscriber_id,signup_date,subscription_tier,age_group,region,num_profiles,months_subscribed,days_to_first_watch,avg_weekly_watch_hours,days_since_last_watch,genre_diversity_score,pct_content_completed,num_titles_watched,favorite_genre,churned,churn_date
SUB_00001,2023-11-29,Standard,25-34,Midwest,1,13,0,3.4,2,0.47,0.94,23,Documentary,0,
SUB_00002,2024-08-25,Premium,25-34,Northeast,3,4,7,5.6,19,0.66,0.52,8,Crime,0,
SUB_00003,2023-06-15,Standard,18-24,South,4,18,0,5.4,14,0.17,0.51,37,Comedy,0,
SUB_00004,2023-06-10,Standard,35-44,Midwest,2,19,0,5.6,22,0.59,0.33,37,Horror,0,
SUB_00005,2023-01-06,Basic,25-34,South,3,24,0,3.0,1,0.06,0.67,46,Action,0,
SUB_00006,2024-10-14,Basic,45+,Midwest,2,2,2,1.7,10,0.62,0.59,8,Documentary,1,2024-11-24
SUB_00007,2023-07-24,Basic,18-24,West,1,17,3,3.0,2,0.79,0.75,30,Documentary,0,
SUB_00008,2024-06-15,Premium,35-44,Northeast,1,6,3,14.7,12,0.64,0.63,14,Crime,0,
SUB_00009,2023-04-10,Standard,35-44,Midwest,1,21,0,9.9,12,0.34,0.56,41,Sci-Fi,0,
SUB_00010,2024-11-07,Standard,35-44,South,3,1,0,3.0,0,0.5,0.86,1,Comedy,0,
SUB_00011,2023-02-14,Basic,45+,South,1,22,1,4.1,0,0.93,0.61,42,Comedy,0,
SUB_00012,2024-04-01,Premium,35-44,Northeast,4,9,2,11.8,3,0.89,0.79,19,Action,0,
SUB_00013,2023-08-15,Premium,45+,Northeast,5,16,2,11.5,14,0.43,0.63,31,Documentary,0,
SUB_00014,2023-11-11,Basic,25-34,South,1,13,0,1.6,1,0.65,0.74,27,Crime,1,2024-01-08
SUB_00015,2023-02-21,Basic,25-34,South,1,22,0,3.9,6,0.54,0.36,54,Thriller,0,
SUB_00016,2023-05-26,Basic,18-24,West,3,19,5,2.6,0,0.51,0.91,38,Romance,0,
SUB_00017,2023-10-08,Basic,18-24,Midwest,4,15,5,0.3,1,0.88,0.76,30,Horror,0,
SUB_00018,2023-05-03,Standard,25-34,West,2,20,0,1.0,8,0.08,0.81,41,Animation,1,2023-05-29
SUB_00019,2024-12-19,Standard,18-24,South,2,1,2,5.4,9,0.58,0.67,1,Horror,0,
SUB_00020,2024-04-15,Basic,25-34,South,4,8,1,2.9,2,0.18,0.43,17,Romance,0,
SUB_00021,2023-10-24,Standard,18-24,South,2,14,0,3.6,9,0.29,0.64,28,Comedy,0,
SUB_00022,2024-09-05,Basic,18-24,South,1,3,8,1.6,1,0.64,0.91,4,Sci-Fi,0,
SUB_00023,2024-05-26,Basic,45+,South,5,7,0,3.7,6,0.59,0.71,21,Crime,0,
SUB_00024,2024-10-02,Standard,18-24,Midwest,1,3,0,4.5,4,0.45,0.83,11,Horror,0,
SUB_00025,2024-05-16,Standard,35-44,South,1,7,1,6.5,4,0.55,0.8,19,Comedy,0,
SUB_00026,2024-11-09,Standard,18-24,South,2,1,5,4.0,0,0.78,0.91,0,Thriller,0,
SUB_00027,2023-07-21,Basic,45+,Northeast,1,17,4,3.9,1,0.81,0.63,30,Animation,0,
SUB_00028,2024-02-19,Standard,45+,Northeast,5,10,2,6.1,16,0.73,0.8,15,Crime,0,
SUB_00029,2024-09-05,Standard,35-44,Northeast,2,3,3,5.6,29,0.25,0.87,4,Crime,0,
SUB_00030,2024-08-05,Basic,35-44,Northeast,4,4,1,4.2,1,0.64,0.29,8,Drama,0,
SUB_00031,2024-02-26,Standard,18-24,Midwest,1,10,8,1.7,12,0.55,0.84,23,Sci-Fi,0,
SUB_00032,2024-06-03,Basic,45+,Northeast,1,7,0,3.1,26,0.41,0.65,4,Thriller,1,2024-12-10
SUB_00033,2024-11-04,Basic,45+,Midwest,3,1,0,0.0,4,0.62,0.66,5,Sci-Fi,0,
SUB_00034,2023-03-14,Premium,45+,South,4,21,7,11.0,11,0.85,0.91,35,Drama,0,
SUB_00035,2023-12-11,Premium,35-44,Northeast,1,12,8,10.8,7,0.83,0.63,25,Drama,1,2024-04-30
SUB_00036,2023-01-27,Premium,25-34,Midwest,2,23,2,12.0,2,0.58,0.85,47,Animation,0,
SUB_00037,2023-06-18,Basic,45+,South,1,18,2,0.0,7,0.62,0.83,33,Animation,0,
SUB_00038,2024-08-07,Basic,25-34,South,4,4,6,2.6,8,0.93,0.6,9,Comedy,1,2024-09-08
SUB_00039,2023-07-28,Standard,35-44,West,4,17,5,8.5,27,0.52,0.93,38,Animation,0,
SUB_00040,2024-09-02,Standard,18-24,Northeast,3,4,5,3.9,1,0.13,0.76,14,Horror,0,
SUB_00041,2024-06-26,Basic,45+,Northeast,3,6,1,1.2,14,0.7,0.73,12,Action,0,
SUB_00042,2024-06-28,Standard,18-24,Midwest,1,6,5,4.1,3,0.33,0.85,9,Animation,0,
SUB_00043,2024-12-25,Basic,25-34,Midwest,1,1,0,3.5,15,0.53,0.9,1,Action,1,2025-01-02
SUB_00044,2024-10-18,Premium,35-44,South,1,2,2,7.4,1,0.38,0.71,3,Crime,0,
SUB_00045,2024-09-02,Basic,35-44,Northeast,1,4,0,1.7,3,0.59,0.94,6,Thriller,1,2024-09-20
SUB_00046,2023-11-06,Standard,35-44,West,3,14,0,7.4,11,0.27,0.69,28,Action,0,
SUB_00047,2023-06-29,Basic,25-34,South,2,18,2,1.0,2,0.83,0.31,38,Sci-Fi,1,2023-10-12
SUB_00048,2024-10-08,Standard,18-24,Northeast,1,2,0,7.8,3,0.42,0.89,4,Drama,1,2024-11-21
SUB_00049,2024-03-13,Standard,35-44,South,4,9,0,4.0,23,0.69,0.76,20,Comedy,0,
SUB_00050,2024-04-21,Basic,45+,West,5,8,0,2.0,1,0.92,0.89,18,Crime,0,
SUB_00051,2024-01-30,Premium,45+,Northeast,2,11,11,14.0,5,0.5,0.4,21,Sci-Fi,0,
SUB_00052,2024-12-02,Standard,25-34,Midwest,2,1,0,7.4,6,0.32,0.77,1,Action,0,
SUB_00053,2024-06-25,Premium,45+,South,1,6,0,8.9,5,0.81,0.64,5,Action,0,
SUB_00054,2024-08-16,Premium,25-34,South,2,4,3,6.9,4,0.05,0.78,7,Drama,0,
SUB_00055,2023-02-26,Standard,25-34,Midwest,2,22,5,8.9,10,0.87,0.64,39,Thriller,0,
SUB_00056,2023-06-23,Premium,25-34,West,5,18,2,9.6,27,0.73,0.91,37,Drama,0,
SUB_00057,2024-12-20,Basic,25-34,South,3,1,11,2.8,1,0.76,0.66,2,Drama,0,
SUB_00058,2023-11-22,Basic,35-44,Northeast,3,13,1,3.2,2,0.72,0.83,25,Animation,0,
SUB_00059,2023-11-18,Basic,25-34,West,1,13,1,1.1,4,0.38,0.7,33,Romance,0,
SUB_00060,2023-07-02,Basic,25-34,Midwest,2,18,5,0.2,4,0.28,0.64,40,Documentary,0,
SUB_00061,2023-08-23,Standard,25-34,South,1,16,3,6.8,15,0.81,1.0,41,Drama,0,
SUB_00062,2024-09-10,Basic,18-24,South,4,3,0,0.0,9,0.57,0.96,7,Animation,0,
SUB_00063,2023-07-05,Premium,35-44,Midwest,1,18,2,6.5,22,0.55,0.73,35,Thriller,0,
SUB_00064,2023-09-23,Standard,25-34,Midwest,2,15,11,6.9,3,0.33,0.52,29,Action,1,2024-10-07
SUB_00065,2024-10-05,Basic,18-24,West,1,2,5,2.7,4,0.53,0.72,6,Documentary,1,2024-12-02
SUB_00066,2023-11-25,Standard,35-44,South,3,13,0,6.1,3,0.37,0.6,22,Action,0,
SUB_00067,2023-12-31,Basic,35-44,South,2,12,0,1.4,0,0.41,0.89,15,Action,0,
SUB_00068,2024-11-13,Premium,35-44,Midwest,2,1,5,15.3,5,0.88,0.9,2,Animation,0,
SUB_00069,2023-01-24,Basic,25-34,South,1,23,0,0.8,7,0.61,0.68,40,Animation,1,2024-08-05
SUB_00070,2023-09-18,Premium,45+,South,2,15,1,2.3,5,0.82,0.46,17,Romance,0,
SUB_00071,2023-12-21,Standard,45+,South,2,12,0,0.9,14,0.31,0.7,24,Action,0,
SUB_00072,2023-07-15,Basic,45+,Northeast,5,17,0,2.3,2,0.45,0.96,24,Crime,0,
SUB_00073,2024-09-02,Basic,35-44,South,1,4,6,2.0,18,0.83,0.95,9,Sci-Fi,0,
SUB_00074,2024-05-04,Premium,25-34,Midwest,4,8,4,13.1,1,0.78,0.69,18,Comedy,0,
SUB_00075,2023-11-29,Standard,45+,Midwest,2,13,1,6.7,8,0.37,0.79,29,Drama,0,
SUB_00076,2024-09-04,Standard,25-34,South,1,3,0,4.9,4,0.12,0.54,6,Horror,0,
SUB_00077,2024-09-23,Standard,25-34,Northeast,3,3,4,1.6,5,0.71,0.66,8,Sci-Fi,0,
SUB_00078,2023-11-17,Basic,25-34,South,2,13,1,1.2,3,0.79,0.89,25,Sci-Fi,1,2024-01-01
SUB_00079,2024-03-22,Standard,18-24,Midwest,1,9,3,3.8,1,0.62,0.88,15,Drama,0,
SUB_00080,2024-01-12,Basic,45+,South,3,11,1,4.4,1,0.74,0.84,25,Thriller,0,
SUB_00081,2023-07-22,Premium,35-44,Midwest,2,17,1,9.6,0,0.7,0.63,38,Comedy,0,
SUB_00082,2023-03-31,Standard,35-44,South,3,21,2,7.6,1,0.75,0.89,53,Action,0,
SUB_00083,2024-12-07,Basic,35-44,South,3,1,4,2.3,0,0.66,0.37,3,Documentary,0,
SUB_00084,2023-06-26,Basic,25-34,Midwest,2,18,5,1.9,0,0.42,0.62,30,Romance,1,2024-09-01
SUB_00085,2024-09-18,Basic,18-24,Northeast,2,3,1,1.3,3,0.29,0.92,6,Action,0,
SUB_00086,2023-02-01,Basic,35-44,South,1,23,0,2.8,0,0.32,0.62,42,Thriller,0,
SUB_00087,2024-12-27,Standard,35-44,Northeast,2,1,0,2.5,18,0.26,0.73,1,Horror,0,
